A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
1,1,1,1,0.543859649122807,0.17543859649122806,0.12280701754385964,0.15384615384615385,0.06382978723404255,0.09615384615384616,0.625,0.6666666666666666,0,0,0
1,1,1,1,0.5263157894736842,0.15789473684210525,0.0425531914893617,0.1346153846153846,0.06382978723404255,0.0851063829787234,0.5,0,0,0,0
1,1,1,1,0.5789473684210527,0.15789473684210525,0.0425531914893617,0.1346153846153846,0.0425531914893617,0.06382978723404255,0.5,0,0,0,0
1,1,1,1,0.6428571428571429,0.16071428571428573,0.020833333333333332,0.1509433962264151,0.020833333333333332,0.0625,0.45454545454545453,0,0,0,0
1,1,1,1,0.6607142857142857,0.16981132075471697,0.02127659574468085,0.1509433962264151,0.02127659574468085,0.0425531914893617,0.45454545454545453,0,0,0,0
1,1,1,1,0.6666666666666666,0.16981132075471697,0.0425531914893617,0.1509433962264151,0.02127659574468085,0.06382978723404255,0.45454545454545453,0,0,0,0
1,1,1,1,0.6363636363636364,0.16363636363636364,0.0425531914893617,0.19230769230769232,0.0425531914893617,0.0425531914893617,0.7,0,0,0,0
1,1,1,1,0.6071428571428571,0.16071428571428573,0.0425531914893617,0.19607843137254902,0.0425531914893617,0.0425531914893617,0.7,0,0,0,0
1,1,1,1,0.6071428571428571,0.19230769230769232,0.0425531914893617,0.19230769230769232,0.02127659574468085,0.06382978723404255,0.75,0,0,0,0
1,1,1,1,0.6,0.17307692307692307,0.0425531914893617,0.17307692307692307,0.02127659574468085,0.0851063829787234,0.6363636363636364,0,0,0,0
1,1,1,1,0.5818181818181818,0.21818181818181817,0.0851063829787234,0.21568627450980393,0.02127659574468085,0.06382978723404255,0.5384615384615384,0,0,0,0
1,1,1,1,0.5740740740740741,0.2222222222222222,0.06382978723404255,0.21568627450980393,0.0425531914893617,0.0851063829787234,0.5384615384615384,0.5,0,0,0
1,1,1,1,0.5849056603773585,0.23529411764705882,0.06382978723404255,0.19607843137254902,0.02127659574468085,0.06382978723404255,0.6153846153846154,1.0,0,0,0
1,1,1,1,0.5961538461538461,0.25,0.06382978723404255,0.19607843137254902,0.0425531914893617,0.06382978723404255,0.5384615384615384,0.5,0,0.5,0
1,1,1,1,0.5961538461538461,0.21153846153846154,0.057692307692307696,0.22,0.0851063829787234,0.06382978723404255,0.5333333333333333,0.6666666666666666,0,0.3333333333333333,0
1,1,1,1,0.5961538461538461,0.17307692307692307,0.057692307692307696,0.22448979591836735,0.08695652173913043,0.08695652173913043,0.6363636363636364,0.6666666666666666,0,0.25,0
1,1,1,1,0.5769230769230769,0.17307692307692307,0.057692307692307696,0.25,0.10869565217391304,0.08695652173913043,0.6363636363636364,0.6666666666666666,0,0.25,0
1,1,1,1,0.5769230769230769,0.17307692307692307,0.057692307692307696,0.25,0.08695652173913043,0.06521739130434782,0.6363636363636364,0.6666666666666666,0,0.5,0
1,1,1,1,0.5769230769230769,0.15384615384615385,0.043478260869565216,0.22916666666666666,0.08695652173913043,0.0625,0.7777777777777778,0.5,0,0.3333333333333333,0
1,1,1,1,0.5769230769230769,0.15384615384615385,0.043478260869565216,0.20833333333333334,0.06521739130434782,0.08333333333333333,0.7777777777777778,0.5,0,0,0
1,1,1,1,0.5769230769230769,0.1346153846153846,0.044444444444444446,0.2127659574468085,0.06666666666666667,0.06382978723404255,0.875,0.5,0,0,0
1,1,1,1,0.5576923076923077,0.1346153846153846,0.044444444444444446,0.2127659574468085,0.044444444444444446,0.06382978723404255,0.875,0.5,0,0,0
1,1,1,1,0.5849056603773585,0.17391304347826086,0.044444444444444446,0.17391304347826086,0.044444444444444446,0.06521739130434782,0.9,0.5,0,0,0
1,1,1,1,0.5849056603773585,0.15555555555555556,0.044444444444444446,0.13333333333333333,0.044444444444444446,0.06666666666666667,1.0,0.5,0,0,0
1,1,1,1,0.6037735849056604,0.13333333333333333,0.022222222222222223,0.1111111111111111,0.044444444444444446,0.044444444444444446,1.0,1.0,0,0,0
1,1,1,1,0.6226415094339622,0.1590909090909091,0.022727272727272728,0.11363636363636363,0.045454545454545456,0.022727272727272728,1.0,1.0,0,0,0
1,1,1,1,0.6226415094339622,0.15555555555555556,0.045454545454545456,0.13333333333333333,0.022727272727272728,0.022727272727272728,0.8333333333333334,0,0,0,0
1,1,1,1,0.6037735849056604,0.17777777777777778,0.045454545454545456,0.15555555555555556,0.022727272727272728,0.022727272727272728,0.8571428571428571,0,0,0,0
1,1,1,1,0.6274509803921569,0.22727272727272727,0.022727272727272728,0.20454545454545456,0.045454545454545456,0.045454545454545456,0.8888888888888888,1.0,0,0,0
1,1,1,1,0.6470588235294118,0.22727272727272727,0.06976744186046512,0.22727272727272727,0.06976744186046512,0.046511627906976744,0.9230769230769231,0.6666666666666666,0,0,0
1,1,1,1,0.6538461538461539,0.22727272727272727,0.07692307692307693,0.22727272727272727,0.11904761904761904,0.09523809523809523,0.9333333333333333,1.0,0,0,0
1,1,1,1,0.6538461538461539,0.25,0.07692307692307693,0.22727272727272727,0.14634146341463414,0.07317073170731707,1.0,1.0,0,0,0
1,1,1,1,0.6666666666666666,0.19607843137254902,0.09803921568627451,0.22727272727272727,0.16666666666666666,0.07142857142857142,1.0,0.8,0,0,0
1,1,1,1,0.6666666666666666,0.19607843137254902,0.09803921568627451,0.18181818181818182,0.16666666666666666,0.07142857142857142,0.9230769230769231,0.8,0,0,0
1,1,1,1,0.6730769230769231,0.21153846153846154,0.09615384615384616,0.1590909090909091,0.14285714285714285,0.09523809523809523,1.0,0.6,0,0,0
1,1,1,1,0.6415094339622641,0.20754716981132076,0.09302325581395349,0.15555555555555556,0.16279069767441862,0.06976744186046512,1.0,0.75,0,0,0
1,1,1,1,0.6226415094339622,0.24528301886792453,0.06976744186046512,0.20454545454545456,0.11627906976744186,0.06976744186046512,0.9,0.3333333333333333,0,0,0
