A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
49,42,60,53,32,21,2,7,0,1,13,0,0,0,0
49,41,60,52,33,19,2,7,0,2,12,0,0,0,0
49,41,60,52,32,19,3,7,1,2,12,1,0,0,0
49,41,60,52,33,19,3,7,2,1,12,1,0,0,0
48,41,60,52,32,19,3,6,3,3,12,1,0,1,0
48,41,60,52,30,20,3,6,3,4,12,2,2,2,2
49,41,60,52,31,22,4,5,3,2,13,3,4,2,4
49,40,61,50,30,23,6,5,2,2,13,3,4,2,4
49,40,61,51,31,25,5,6,1,2,15,1,2,2,2
49,41,61,50,31,25,6,7,2,2,15,2,2,2,2
49,41,61,50,31,23,5,7,1,2,13,1,2,0,0
49,41,61,50,32,26,5,7,1,1,17,1,1,0,0
48,41,61,50,29,26,6,7,2,0,16,1,0,0,0
48,41,61,48,28,30,6,5,2,0,17,2,0,0,0
47,42,61,49,29,30,6,4,2,0,13,3,0,0,0
48,42,61,49,30,30,6,4,2,1,13,3,2,1,2
49,42,61,49,29,30,7,3,2,1,7,3,3,1,3
49,41,63,49,28,33,6,5,1,1,8,3,3,1,3
51,41,62,49,28,35,4,6,1,1,9,2,2,1,2
51,41,62,49,28,32,5,6,0,1,9,0,2,0,0
50,41,62,48,28,32,4,5,0,2,10,0,1,0,0
50,41,62,48,28,32,3,6,0,1,10,0,0,0,0
51,42,62,48,32,33,3,6,0,1,11,0,0,0,0
51,42,62,49,32,31,3,6,0,1,11,0,0,0,0
52,41,61,49,34,28,3,7,0,1,21,0,0,0,0
52,41,61,50,35,28,3,9,1,1,21,0,0,0,0
53,41,61,48,36,28,4,10,1,0,24,3,0,0,0
53,41,61,48,36,29,4,9,1,2,25,3,3,1,3
53,41,61,48,40,29,5,10,1,3,27,3,3,1,3
52,41,61,48,40,29,6,10,1,3,27,1,3,0,0
52,41,62,48,39,29,6,10,1,3,27,2,2,0,0
52,41,62,47,39,29,4,9,1,3,27,2,0,0,0
52,41,61,47,38,30,4,10,1,4,27,2,0,0,0
52,41,62,47,38,29,4,10,1,4,27,2,0,0,0
52,41,62,47,33,31,4,10,1,3,28,2,0,0,0
52,41,62,47,34,31,4,10,1,2,28,2,0,0,0
52,41,62,47,35,32,2,10,1,3,29,0,0,0,0
52,41,62,48,35,32,2,10,1,3,28,0,0,0,0
52,40,62,47,35,34,2,10,2,3,30,1,0,0,0
52,40,61,47,37,33,5,9,2,1,29,5,0,0,0
52,40,61,46,36,33,5,10,2,2,29,5,4,1,4
52,40,61,46,35,31,5,10,2,2,28,4,4,1,3
52,40,61,46,36,33,4,9,3,2,28,4,3,1,3
51,39,61,46,35,32,3,8,2,2,28,3,3,1,3
52,39,61,46,36,32,4,8,1,2,28,1,3,0,0
51,39,62,47,35,32,4,8,3,2,28,2,2,0,0
50,38,62,47,33,31,3,8,3,3,28,3,2,1,2
50,38,62,47,34,31,4,9,2,2,28,4,2,1,2
51,39,62,47,35,32,4,9,3,3,28,4,2,1,2
51,39,61,47,37,32,4,8,3,3,28,4,2,1,2
52,39,61,47,41,31,4,8,4,3,26,6,2,1,2
52,39,61,48,41,30,5,9,3,2,28,5,2,0,0
52,39,62,47,42,31,5,10,3,2,28,5,2,0,0
52,38,61,48,40,31,4,10,2,2,28,5,1,0,0
